2023-04-19 22:04:775 INFO  IthPharma :80 - I verify Text[[ChromeDriver: chrome on WINDOWS (67d2cdfff5dc05610205540e22b5582a)] -> xpath: //strong[contains(text(),'COVID 19')]]
2023-04-20 16:04:864 INFO  IthPharma :73 - I click On WhoWeAre
2023-04-20 16:04:527 INFO  IthPharma :80 - I verify Text[[ChromeDriver: chrome on WINDOWS (a024807633a5ea76ed00a5e0a4c7caae)] -> xpath: //strong[contains(text(),'COVID 19')]]
2023-04-20 16:04:976 INFO  IthPharma :87 - I click Registered Page[[ChromeDriver: chrome on WINDOWS (a024807633a5ea76ed00a5e0a4c7caae)] -> xpath: //a[contains(text(),'Register')]]
2023-04-20 16:04:487 INFO  IthPharma :92 - I enter UserName Proxy element for: DefaultElementLocator 'By.xpath: /html/body/main/div/div/div/form/div[2]/div/div/input'
2023-04-20 16:04:266 INFO  IthPharma :73 - I click On WhoWeAre
2023-04-20 16:04:544 INFO  IthPharma :80 - I verify Text[[ChromeDriver: chrome on WINDOWS (2567ac33c163a787174bca5356876b0c)] -> xpath: //strong[contains(text(),'COVID 19')]]
2023-04-20 16:04:404 INFO  IthPharma :92 - I enter UserName Proxy element for: DefaultElementLocator 'By.xpath: /html/body/main/div/div/div/form/div[2]/div/div/input'
2023-04-20 16:04:119 INFO  IthPharma :73 - I click On WhoWeAre
2023-04-20 16:04:632 INFO  IthPharma :80 - I verify Text[[ChromeDriver: chrome on WINDOWS (d55cfcfa3b727481c8254029ec3bd3d3)] -> xpath: //strong[contains(text(),'COVID 19')]]
2023-04-20 16:04:579 INFO  IthPharma :73 - I click On WhoWeAre
2023-04-20 16:04:360 INFO  IthPharma :80 - I verify Text[[ChromeDriver: chrome on WINDOWS (873e75735ba1174bc5d4192f296b762a)] -> xpath: //strong[contains(text(),'COVID 19')]]
2023-04-20 16:04:328 INFO  IthPharma :92 - I enter UserName Proxy element for: DefaultElementLocator 'By.xpath: /html/body/main/div/div/div/form/div[2]/div/div/input'
2023-04-20 17:04:850 INFO  IthPharma :73 - I click On WhoWeAre
2023-04-20 17:04:843 INFO  IthPharma :80 - I verify Text[[ChromeDriver: chrome on WINDOWS (1021641b260fae00a0d645f3e253d1ed)] -> xpath: //strong[contains(text(),'COVID 19')]]
2023-04-20 17:04:344 INFO  IthPharma :87 - I click Registered Page[[ChromeDriver: chrome on WINDOWS (1021641b260fae00a0d645f3e253d1ed)] -> xpath: //a[contains(text(),'Register')]]
2023-04-20 17:04:651 INFO  IthPharma :92 - I enter UserName Proxy element for: DefaultElementLocator 'By.xpath: /html/body/main/div/div/div/form/div[2]/div/div/input'
2023-04-20 22:04:327 INFO  IthPharma :73 - I click On WhoWeAre
2023-04-20 22:04:293 INFO  IthPharma :80 - I verify Text[[ChromeDriver: chrome on WINDOWS (17501f377be58bbc781f3061290ebaf7)] -> xpath: //strong[contains(text(),'COVID 19')]]
2023-04-20 22:04:593 INFO  IthPharma :87 - I click Registered Page[[ChromeDriver: chrome on WINDOWS (17501f377be58bbc781f3061290ebaf7)] -> xpath: //a[contains(text(),'Register')]]
2023-04-20 22:04:800 INFO  IthPharma :92 - I enter UserName Proxy element for: DefaultElementLocator 'By.xpath: /html/body/main/div/div/div/form/div[2]/div/div/input'
2023-04-20 22:04:949 INFO  IthPharma :75 - I click On WhoWeAre
2023-04-20 22:04:914 INFO  IthPharma :82 - I verify Text[[ChromeDriver: chrome on WINDOWS (ee854e3a48c7071ffd3e6db2e1309216)] -> xpath: //strong[contains(text(),'COVID 19')]]
2023-04-20 22:04:242 INFO  IthPharma :89 - I click Registered Page[[ChromeDriver: chrome on WINDOWS (ee854e3a48c7071ffd3e6db2e1309216)] -> xpath: //a[contains(text(),'Register')]]
2023-04-20 22:04:715 INFO  IthPharma :104 - I enter UserName [[ChromeDriver: chrome on WINDOWS (ee854e3a48c7071ffd3e6db2e1309216)] -> xpath: /html/body/main/div/div/div/form/div[2]/div/div/input]
